instruction,output
Show me the average amount of ram used 5 minute window in kubernetes cluster target and org_id orgid,"avg_over_time(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[5m])"
Tell me the sum of ram used over the last 24 hours in the target kubernetes cluster and orgid org_id,"sum_over_time(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[24h])"
Can you show me the minimum amount of ram usage over a 1-hour window in the target kubernetes cluster and orgid org_id,"min_over_time(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[1h])"
Show me the rate of change in the ram usage percentage over the last 5 minutes for target cluster and orgid organization,"rate(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[5m])"
Show me the difference in ram usage between 1 hour ago and now,"delta(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[1h])"
Sum of ram usage across all hosts:,"sum(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""})"
show the average percentage CPU idle state across all hosts.,"avg(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""})"
show the maximum amount of ram used across all hosts:,"max(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""})"
Show the minimum amount of ram used across all hosts:,"min(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""})"
Show the standard deviation of RAM usage across all hosts:,"stddev(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""})"
Show the count of hosts where ram usage is below a threshold of 20%,"count(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""} < 20)"
"Calculate the average ram usage over a 5-minute window, aggregated by host:","avg by (host) (avg_over_time(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[5m]))"
"Find the maximum ram usage over a 15-minute window, aggregated by instance_type","max by (instance_type) (max_over_time(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[15m]))"
"Sum the amount of ram usage over the last hour, aggregated by host for the last hour.","sum by (host) (sum_over_time(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[1h]))"
"Calculate the average ram usage over a 10-minute window, aggregated by host host and instance_type instance_type","avg by (host, instance_type) (avg_over_time(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[10m]))"
"Find the minimum ram usage over the last 24 hours, aggregated by cluster_name as dev","min by (dev) (min_over_time(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[24h]))"
Show the average over 5 minutes for average CPU usage per host where the cluster name is target and organization id is orgid,"avg by (host) (100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m]))"
which promql function is used to calculate the average value of all points in the specified interval,avg_over_time(range-interval)
list of labels used with system_cpu_idle,"availability_zone, host, kube_cluster_name, kfuse, org_id, project, region, instance_type"
Show the average CPU usage per host averaged over 5 minutes where the cluster name is target and organization id is orgid,"avg by (host) (100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m]))"
"show average cpu usage per host for ""target"" cluster and orgid organization averaged over 5 minutes","avg by (host) (100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m]))"
Show the average over 5 minutes for maximum CPU usage over 5 minutes per host where the cluster name is target and organization id is orgid,"max by (host) (100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m]))"
Calculate the sum of average CPU usage in the last 15 minutes for each host where the cluster name is target and organization id is orgid,"sum by (host) (100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[15m]))"
Return the count of the average CPU usage greater than 80 in the last 5 minutes for each host where the cluster name is target and organization id is orgid,"count_over_time((100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m])) > 80)"
Show the average CPU usage averaged over an hour per host where the cluster name is target and organization id is orgid,"avg by (host) (100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[1h]))"
Return the rate of change in average CPU usage by host in the target cluster and orgid organization in the last 5 min,"rate(100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m])) * 60"
Show the percentage of average CPU usage over 5 minutes for each host where the cluster name is target and organization id is orgid,"100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m])"
"Calculate the difference in average CPU usage over the last 5 minutes and 1 hour ago by host in the ""target"" cluster and ""orgid"" organization","delta(100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m]))[1h]"
Calculate the 90th percentile of average CPU usage within 5 minutes by host in the target cluster and orgid organization,"quantile_over_time(0.90, 100 - avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""[5m]}))"
Return the amount of ram in use for the cluster target and oraganization id orgid,"system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}"
Show the amount of memory in use for the cluster target and oraganization id orgid,"system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}"
Show the average amount of memory in use for the cluster target and oraganization id orgid per host,"avg by(host) system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}"
Return the average memory usage percentage for each host with cluster name as target and oraganization id as orgid,"avg by (host) (system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}/system_mem_total{kube_cluster_name=""target"", org_id=""orgId""}*100)"
How much amount of total memory was in use by the container for the cluster target and oraganization id orgid in the past 45 minutes,"container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[45m]"
"show me the amount of container memory usage in the target kubernetes cluster, n2-highmem-16 instance_type and region us-west1-a","(container_memory_usage{kube_cluster_name=""target"", instance_type=""n2-highmem-16"", region=""us-west1-a""}"
Show me the average amount of total memory used in the 5 minute window in kubernetes cluster target and org_id orgid by the container,"avg_over_time(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[5m])"
Tell me the sum of total memory used over the last 24 hours in the target kubernetes cluster and orgid org_id by the container,"sum_over_time(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[24h])"
Can you show me the minimum amount of ram usage over a 1-hour window in the target kubernetes cluster and orgid org_id,"min_over_time(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[1h])"
Show me the rate of change in the total container memory usage over the last 5 minutes for target cluster and orgid organization,"rate(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[5m])"
Show me the difference in the total memory usage by the container between 1 hour ago and now,"delta(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[1h])"
Sum of total memory usage across all hosts by the container,"sum(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""})"
show the average of the total used memory by a container across all hosts.,"avg(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""})"
show the maximum amount of memory used by the container across all hosts:,"max(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""})"
Show the minimum amount of memory used by the container across all hosts:,"min(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""})"
Show the standard deviation of memory used by the container across all hosts:,"stddev(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""})"
Show the count of hosts where memory usage by the container is below a threshold of 20%,"count(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""} < 20)"
"Calculate the average total memory used by the container over a 5-minute window, aggregated by host:","avg by (host) (avg_over_time(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[5m]))"
"Find the maximum memory used by the container over a 15-minute window, aggregated by instance_type","max by (instance_type) (max_over_time(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[15m]))"
"Sum the amount of memory used by the container over the last hour, aggregated by host for the last hour.","sum by (host) (sum_over_time(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[1h]))"
"Calculate the average memory used by the container over a 10-minute window, aggregated by host host and instance_type instance_type","avg by (host, instance_type) (avg_over_time(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[10m]))"
"Find the minimum memory used by the container over the last 24 hours, aggregated by cluster_name shared:","min by (shared) (min_over_time(container_memory_usage{kube_cluster_name=""target"", org_id=""orgId""}[24h]))"
"Show me the average system disk read time per second for each host in the last 2 hours for the cluster name target, organization id orgid, and devices name not starting with loop","avg by (host) (rate(system_disk_read_time{kube_cluster_name=""target"", device!~""loop.*"", org_id=""orgid""}[2h]))"
"Give me the max system disk read time per second for each host within an hour for the cluster name target, organization id orgid, and devices name starting with loop","max by (host) (rate(system_disk_read_time{kube_cluster_name=""target"", device=~""loop.*"", org_id=""orgid""}[1h]))"
"Show me the average system disk read time per second for each host in the last 5 minutes for the cluster name target, organization id orgid, and devices name should not start with loop","avg by (host) (rate(system_disk_read_time{kube_cluster_name=""target"", device!~""loop.*"", org_id=""orgid""}[5m]))"
"Show in bytes the total used storage volume for Persistent Volume Claims (PVCs) that have names starting with 'data-pinot-server-realtime' and belong to the cluster name 'target', namespace 'namespace' and organization id 'orgid'","sum (kubernetes_kubelet_volume_stats_used_bytes{kube_cluster_name=""target"",persistentvolumeclaim=""data-pinot-server-realtime.*"", org_id=""orgId"", kube_namespace=""namespace""})"
"Calculate the total used storage volume in bytes for Kubernetes Persistent Volume Claims (PVCs) that have names starting with 'data-pinot-server-realtime' and belong to the cluster name 'target', namespace 'namespace' and organization id 'orgid'","sum (kubernetes_kubelet_volume_stats_used_bytes{kube_cluster_name=""target"",persistentvolumeclaim=""data-pinot-server-realtime.*"", org_id=""orgId"", kube_namespace=""namespace""})"
"Show the total used storage volume in bytes for Kubernetes Persistent Volume Claims (PVCs) that have names starting with 'data-pinot-server-offline' and belong to the cluster name 'target', namespace 'namespace' and organization id 'orgid'","sum (kubernetes_kubelet_volume_stats_used_bytes{kube_cluster_name=""target"",persistentvolumeclaim=""data-pinot-server-offline.*"", org_id=""orgid"", kube_namespace=""namespace""})"
"Calculate the total used storage volume in bytes for Kubernetes Persistent Volume Claims that have names starting with 'data-kafka' and belong to the cluster 'target', namespace 'namespace' and organization id 'orgid'","sum (kubernetes_kubelet_volume_stats_used_bytes{kube_cluster_name=""target"",persistentvolumeclaim=""data-kafka.*"", org_id=""orgid"", kube_namespace=""namespace""})"
"Calculate the total used storage volume in bytes for PVCs that have names starting with 'data-pinot-zookeeper' and belong to the cluster name 'target', namespace 'namespace' and organization id 'orgid'","sum (kubernetes_kubelet_volume_stats_used_bytes{kube_cluster_name=""target"",persistentvolumeclaim=""data-pinot-zookeeper.*"", org_id=""orgid"", kube_namespace=""namespace""})"
Return the total used storage volume in bytes for Kubernetes PVCs that have names starting with 'data-pinot-controller' where the cluster name is target and organization id is orgid and namespace is namespace,"sum (kubernetes_kubelet_volume_stats_used_bytes{kube_cluster_name=""target"",persistentvolumeclaim=""data-pinot-controller.*"", org_id=""orgid"", kube_namespace=""namespace""})"
Show me the sum of average container CPU usage per pod for the last 5 minutes in millicores,"sum by (pod_name) (avg_over_time(container_cpu_usage{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""}[5m])) / 10^6"
Retrieve the total average CPU usage for containers per pod for the last 5 minutes in millicores,"sum by (pod_name) (avg_over_time(container_cpu_usage{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""}[5m])) / 10^6"
"Retrieve the top 5 pod names with the highest sum of container memory usage in gigabytes (GB), within the cluster 'cluster', organization ID 'orgid', and namespace as namespace.","topk(5, sum by (pod_name) (container_memory_usage{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""}) / 10^9)"
"Retrieve the top 10 pod names with the highest sum of container memory usage in gigabytes (GB), within the cluster 'cluster', organization ID 'orgid', and namespace as namespace.","topk(10, sum by (pod_name) (container_memory_usage{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""}) / 10^9)"
"Retrieve the top 5 pod names with the highest average container memory usage in gigabytes (GB), within the cluster 'cluster', organization ID 'orgid', and namespace as namespace.","topk(5, avg by (pod_name) (container_memory_usage{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""}) / 10^9)"
"Calculate the sum of container input output read operations per pod where the cluster name is target, namespace is namespace and organization id is orgid","sum by (pod_name) (container_io_read_operations{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""})"
"Retrieve the total input output read operations for containers for each pod where the cluster name is target, namespace is namespace and organization id is orgid","sum by (pod_name) (container_io_read_operations{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""})"
"Show the sum of container input output write operations per pod where the cluster name is target, namespace is namespace and organization id is orgid","sum by (pod_name) (container_io_write_operations{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""})"
"Retrieve the total input output write operations for containers for each pod where the cluster name is target, namespace is namespace and organization id is orgid","sum by (pod_name) (container_io_write_operations{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""})"
"Can you give me the total i/o write operations for containers for each pod where the cluster name is target, namespace is namespace and organization id is orgid","sum by (pod_name) (container_io_write_operations{kube_cluster_name=""target"", org_id=""orgid"", kube_namespace=""namespace""})"
which promql function is used to calculate the average value of all points in the specified interval.,avg_over_time(range-vector)
which promql function is used to calculate the minimum value of all points in the specified interval.,min_over_time(range-vector)
which promql function is used to calculate the maximum value of all points in the specified interval.,max_over_time(range-vector)
which promql function is used to calculate the sum of all values in the specified interval.,sum_over_time(range-vector)
which promql function is used to calculate the count of all values in the specified interval.,count_over_time(range-vector)
which promql function is used to calculate the ?-quantile (0 ? ? ? 1) of the values in the specified interval.,"quantile_over_time(scalar, range-vector)"
which promql function is used to calculate the population standard deviation of the values in the specified interval.,stddev_over_time(range-vector)
which promql function is used to calculate the population standard variance of the values in the specified interval.,stdvar_over_time(range-vector)
which promql function is used to calculate the most recent point value in the specified interval.,last_over_time(range-vector)
which promql function is used to calculate the value 1 for any series in the specified interval.,present_over_time(range-vector)
list of labels used with system_mem_used,"availability_zone, host, kube_cluster_name, kfuse, org_id, project, region, instance_type"
list all filters used with the metric system_mem_used,"availability_zone, host, kube_cluster_name, kfuse, org_id, project, region, instance_type"
list of labels used with system_disk_read_time,"availability_zone, host, kube_cluster_name, kfuse, org_id, project, region, instance_type, device, device_name"
list all filters used with the metric system_disk_read_time,"availability_zone, host, kube_cluster_name, kfuse, org_id, project, region, instance_type, device, device_name"
list all labels used with kubernetes_kubelet_volume_stats_used_bytes,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by,"
list all filters used with the metric kubernetes_kubelet_volume_stats_used_bytes,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by,"
list all labels used with container_memory_usage,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by, app_kubernetes_io_name, app_kubernetes_io_part_of, app_kubernetes_io_version, availability_zone, component, container_id, container_name, controller_revision_hash, display_container_name, docker_image, git_commit_sha, git_repository_url, helm_sh_chart, host, image_id, image_name, image_tag, instance_type, kfuse, kube_app_component, kube_app_instance, kube_app_managed_by, kube_app_name, kube_app_part_of, kube_app_version, kube_cluster_name, kube_container_name, kube_daemon_set, kube_deployment, kube_namespace, kube_ownerref_kind, kube_ownerref_name, kube_priority_class, kube_service, kube_stateful_set, org_id, persistentvolumeclaim, pod_name, pod_phase, project, region, release, runtime, short_image, statefulset_kubernetes_io_pod_name"
list out all the filters used with container_memory_usage,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by, app_kubernetes_io_name, app_kubernetes_io_part_of, app_kubernetes_io_version, availability_zone, component, container_id, container_name, controller_revision_hash, display_container_name, docker_image, git_commit_sha, git_repository_url, helm_sh_chart, host, image_id, image_name, image_tag, instance_type, kfuse, kube_app_component, kube_app_instance, kube_app_managed_by, kube_app_name, kube_app_part_of, kube_app_version, kube_cluster_name, kube_container_name, kube_daemon_set, kube_deployment, kube_namespace, kube_ownerref_kind, kube_ownerref_name, kube_priority_class, kube_service, kube_stateful_set, org_id, persistentvolumeclaim, pod_name, pod_phase, project, region, release, runtime, short_image, statefulset_kubernetes_io_pod_name"
list all labels used with container_cpu_usage,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by, app_kubernetes_io_name, app_kubernetes_io_part_of, app_kubernetes_io_version, availability_zone, component, container_id, container_name, controller_revision_hash, display_container_name, docker_image, git_commit_sha, git_repository_url, helm_sh_chart, host, image_id, image_name, image_tag, instance_type, kfuse, kube_app_component, kube_app_instance, kube_app_managed_by, kube_app_name, kube_app_part_of, kube_app_version, kube_cluster_name, kube_container_name, kube_daemon_set, kube_deployment, kube_namespace, kube_ownerref_kind, kube_ownerref_name, kube_priority_class, kube_service, kube_stateful_set, org_id, persistentvolumeclaim, pod_name, pod_phase, project, region, release, runtime, short_image, statefulset_kubernetes_io_pod_name"
list all filters used with container_cpu_usage,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by, app_kubernetes_io_name, app_kubernetes_io_part_of, app_kubernetes_io_version, availability_zone, component, container_id, container_name, controller_revision_hash, display_container_name, docker_image, git_commit_sha, git_repository_url, helm_sh_chart, host, image_id, image_name, image_tag, instance_type, kfuse, kube_app_component, kube_app_instance, kube_app_managed_by, kube_app_name, kube_app_part_of, kube_app_version, kube_cluster_name, kube_container_name, kube_daemon_set, kube_deployment, kube_namespace, kube_ownerref_kind, kube_ownerref_name, kube_priority_class, kube_service, kube_stateful_set, org_id, persistentvolumeclaim, pod_name, pod_phase, project, region, release, runtime, short_image, statefulset_kubernetes_io_pod_name"
list all labels used with container_io_read_operations,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by, app_kubernetes_io_part_of, container_name, controller_revision_hash, device, device_name, display_container_name, docker_image, git_commit_sha, helm_sh_chart, host, image_name, image_tag, instance_type, kfuse, kube_app_component, kube_app_instance, kube_app_managed_by, kube_app_name, kube_app_part_of, kube_app_version, kube_daemon_set, kube_deployment, kube_namespace, kube_ownerref_kind, kube_priority_class, kube_service, kube_stateful_set, org_id, pod_name, pod_phase, project, region, release, runtime, short_image, statefulset_kubernetes_io_pod_name, persistentvolumeclaim"
list all filters used with container_io_read_operations,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by, app_kubernetes_io_part_of, container_name, controller_revision_hash, device, device_name, display_container_name, docker_image, git_commit_sha, helm_sh_chart, host, image_name, image_tag, instance_type, kfuse, kube_app_component, kube_app_instance, kube_app_managed_by, kube_app_name, kube_app_part_of, kube_app_version, kube_daemon_set, kube_deployment, kube_namespace, kube_ownerref_kind, kube_priority_class, kube_service, kube_stateful_set, org_id, pod_name, pod_phase, project, region, release, runtime, short_image, statefulset_kubernetes_io_pod_name, persistentvolumeclaim"
list all labels used with container_io_write_operations,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by, app_kubernetes_io_part_of, container_name, controller_revision_hash, device, device_name, display_container_name, docker_image, git_commit_sha, helm_sh_chart, host, image_name, image_tag, instance_type, kfuse, kube_app_component, kube_app_instance, kube_app_managed_by, kube_app_name, kube_app_part_of, kube_app_version, kube_daemon_set, kube_deployment, kube_namespace, kube_ownerref_kind, kube_priority_class, kube_service, kube_stateful_set, org_id, pod_name, pod_phase, project, region, release, runtime, short_image, statefulset_kubernetes_io_pod_name, persistentvolumeclaim"
list all filters used with container_io_write_operations,"app, app_kubernetes_io_component, app_kubernetes_io_instance, app_kubernetes_io_managed_by, app_kubernetes_io_part_of, container_name, controller_revision_hash, device, device_name, display_container_name, docker_image, git_commit_sha, helm_sh_chart, host, image_name, image_tag, instance_type, kfuse, kube_app_component, kube_app_instance, kube_app_managed_by, kube_app_name, kube_app_part_of, kube_app_version, kube_daemon_set, kube_deployment, kube_namespace, kube_ownerref_kind, kube_priority_class, kube_service, kube_stateful_set, org_id, pod_name, pod_phase, project, region, release, runtime, short_image, statefulset_kubernetes_io_pod_name, persistentvolumeclaim"
which kubernetes metric tracks the amount of RAM in use.,system_mem_used
which metric is used to track the amount of memory being used in bytes,system_mem_used
which metric can be used to track the time used for reading each device in milliseconds,system_disk_read_time
which kubernetes metric tracks the time in ms spent reading per device.,system_disk_read_time
which kubernetes metric tracks the container total CPU Usage,container_cpu_usage
which metric can be used to get the total usage of CPU for a container,container_cpu_usage
which metric is used to track the total memory used by the container,container_memory_usage
which kubernetes metric tracks the container total memory usage,container_memory_usage
which kubernetes metric tracks the number of read operations done by this container,container_io_read_operations
which metric can be used for getting the number of read operations by this container,container_io_read_operations
which metric can be used for getting the number of write operations by this container,container_io_write_operations
which kubernetes metric tracks the number of write operations done by this container,container_io_write_operations
which kubernetes metric shows whether the containers readiness check succeeded?,kubernetes_state_container_ready
which kubernetes metric shows whether the container is in the ready state or not?,kubernetes_state_container_ready
which kubernetes metric shows whether the container is currently in running state?,kubernetes_state_container_running
which kubernetes metric tracks whether the container is currently in terminated state?,kubernetes_state_container_terminated
which kubernetes metric count the containers currently reporting in terminated state with the reason as a tag?,kubernetes_state_container_status_report_count_terminated
which kubernetes metric shows whether the container is currently in waiting state?,kubernetes_state_container_waiting
which kubernetes metric counts the number of containers currently reporting in the waiting state with the reason as a tag?,kubernetes_state_container_status_report_count_waiting
which kubernetes metrics is used to track the number of requested gpu devices by a container,kubernetes_state_container_gpu_request
which kubernetes metrics is used to track the limit on the number of gpu devices to be used by a container?,kubernetes_state_container_gpu_limit
which kubernetes metrics is used to track the number of restarts per container?,kubernetes_state_container_restarts
which kubernetes metrics is used to track the number of requested cpu cores by a container,kubernetes_state_container_cpu_requested
which kubernetes metrics is used to track the number of requested memory bytes by a container,kubernetes_state_container_memory_requested
which kubernetes metrics is used to track the limit on cpu cores to be used by a container,kubernetes_state_container_cpu_limit
which kubernetes metrics is used to track the limit on memory to be used by a container?,kubernetes_state_container_memory_limit
which kubernetes metrics is used to track the number of containers that were previously terminated,kubernetes_containers_last_state_terminated
which kubernetes metrics is used to track the number of running containers,kubernetes_containers_running
which kubernetes metrics is used to track the number of times the container has been restarted,kubernetes_containers_restarts
which kubernetes metrics is used to track the number of currently terminated containers,kubernetes_containers_state_terminated
which kubernetes metrics is used to track the number of currently waiting containers,kubernetes_containers_state_waiting
which kubernetes metrics is used to track the number of nodes running at least one daemon pod which are supposed to run it?,kubernetes_state_daemonset_scheduled
which kubernetes metrics is used to track the number of nodes running a daemon pod but are not supposed to run it?,kubernetes_state_daemonset_misscheduled
which kubernetes metrics is used to track the number of nodes that should be running the daemon pod,kubernetes_state_daemonset_desired
which kubernetes metrics is used to track the number of nodes that should be running daemon pod and have one or more running and ready ?,kubernetes_state_daemonset_ready
which kubernetes metrics is used to track the number of nodes that run updated daemon pod spec?,kubernetes_state_daemonset_updated
which kubernetes metrics is used to track the number of deployments,kubernetes_state_deployment_count
which kubernetes metrics is used to track the number of replicas per deployment,kubernetes_state_deployment_replicas
which kubernetes metrics is used to track the number of available replicas per deployment,kubernetes_state_deployment_replicas_available
which kubernetes metrics is used to track the number of unavailable replicas per deployment,kubernetes_state_deployment_replicas_unavailable
which kubernetes metrics is used to track the number of updated replicas per deployment,kubernetes_state_deployment_replicas_updated
which kubernetes metrics is used to track the number of desired replicas per deployment,kubernetes_state_deployment_replicas_desired
which kubernetes metrics is used to track the number of deployments that are paused?,kubernetes_state_deployment_paused
which kubernetes metrics is used to find the maximum number of unavailable replicas during a rolling update?,kubernetes_state_deployment_rollingupdate_max_unavailable
which kubernetes metrics is used to track the returns response in bytes.,kubedns_response_size_bytes_sum
which kubernetes metrics is used to get the number of responses on which kubedns.response_size.bytes.sum metric is evaluated?,kubedns_response_size_bytes_count
which kubernetes metrics is used to track the Time (in seconds) each request took to resolve.,kubedns_request_duration_seconds_sum
which kubernetes metrics is used to get the number of requests on which kubedns.request_duration.seconds.sum metric is evaluated?,kubedns_request_duration_seconds_count
which kubernetes metrics is used to track the Total number of DNS requests made.,kubedns_request_count
which kubernetes metrics is used to track the Instant number of DNS requests made.,kubedns_request_count_count
which kubernetes metrics is used to track the Number of DNS requests resulting in an error.,kubedns_error_count
which kubernetes metrics is used to track the Instant number of DNS requests made resulting in an error.,kubedns_error_count_count
which kubernetes metrics is used to track the Number of DNS requests resulting in a cache miss.,kubedns_cachemiss_count
Instant number of DNS requests made resulting in a cache miss.,kubedns_cachemiss_count_count
which kubernetes metrics is used to track the Number of addresses available in endpoint,kubernetes_state_endpoint_address_available
which kubernetes metrics is used to track the Number of addresses not ready in endpoint,kubernetes_state_endpoint_address_not_ready
